contents,Es_keV,y_m,PrReach,uPrReach,PrDet,uPrDet
f,600,-1.5,6.466175e-4,9.182240551876147e-7,4.2013999999999994e-4,7.316523267467637e-7
f,600,-1,0.0012875702500000001,1.2956989696003898e-6,8.472052499999998e-4,1.0387425012653701e-6
f,600,-0.5,0.0019628342499999995,1.599392473911018e-6,0.0013004269999999996,1.2881067890530225e-6
f,600,0,0.0022551952500000005,1.7098360176850544e-6,0.0014970767499999998,1.3795925660389887e-6
f,650,-15,6.445999999999998e-7,1.167094147033563e-8,4.2060000000000005e-7,9.2449661256275e-9
f,650,-12.5,1.0599997449999998e-6,4.294660514538815e-8,6.73333115e-7,3.4156834839770314e-8
f,650,-10,1.6266664300000002e-6,5.343710591118027e-8,1.0866668150000003e-6,4.2950152746392324e-8
f,650,-7.5,3.0999999999999995e-6,1.2707990871298258e-7,1.999999999999999e-6,1.0050132926857236e-7
f,650,-5,6.474999999999996e-6,1.843055861734798e-7,4.139999999999998e-6,1.4559428275691319e-7
f,650,-2.5,1.1786624999999998e-4,3.931501590295805e-7,7.390874999999998e-5,3.0783191933268855e-7
f,650,-2,3.071362499999998e-4,6.341869018888847e-7,1.9644625000000005e-4,5.015773527970755e-7
f,650,-1.5,7.386962499999996e-4,9.80707871458043e-7,4.8105875000000007e-4,7.829962997341628e-7
f,650,-1,0.0014560524999999997,1.375388646651107e-6,9.597240000000002e-4,1.1059069353493413e-6
f,650,-0.5,0.002203521249999999,1.6875273423078472e-6,0.00146300755,1.3644742206283929e-6
f,650,0,0.0025274607499999996,1.810416565734518e-6,0.001680932,1.4621061465080783e-6
f,661.6,-15,6.571999999999999e-7,1.1832275925754943e-8,4.3059999999999995e-7,9.356949593345044e-9
f,661.6,-12.5,1.0683328899999997e-6,4.317458446589344e-8,6.983335250000001e-7,3.4761438097345344e-8
f,661.6,-10,1.7100005999999994e-6,5.4668165562696454e-8,1.1516664700000003e-6,4.419187023257538e-8
f,661.6,-7.5,3.099999999999999e-6,1.2845067335946508e-7,1.994999999999999e-6,1.0037145346411997e-7
f,661.6,-5,7.029999999999998e-6,1.9144869146784473e-7,4.469999999999999e-6,1.5199242009060848e-7
f,661.6,-2.5,1.2235875e-4,4.004838465919615e-7,7.675500000000003e-5,3.1402245153389805e-7
f,661.6,-2,3.1697875e-4,6.435440133751901e-7,2.0281249999999992e-4,5.09810182529994e-7
f,661.6,-1.5,7.613262499999999e-4,9.95193761772676e-7,4.956724999999999e-4,7.948090983662957e-7
f,661.6,-1,0.0014962167500000001,1.3932765031454096e-6,9.862467500000001e-4,1.1195905003223124e-6
f,661.6,-0.5,0.002261769500000001,1.7120021393596058e-6,0.0015021107500000008,1.3821195352696003e-6
f,661.6,0,0.0025933650000000007,1.8369587198552892e-6,0.0017253889999999997,1.483511249701593e-6
f,700,-15,7.23e-7,1.2397259277469354e-8,4.631999999999999e-7,9.707379039885071e-9
f,700,-12.5,1.0483324600000002e-6,4.298039870936409e-8,7.033330699999999e-7,3.495990281926822e-8
f,700,-10,1.8666661099999997e-6,5.7104716878634704e-8,1.2383335149999998e-6,4.6399782560622006e-8
f,700,-7.5,3.449999999999999e-6,1.3509211198752496e-7,2.2549999999999983e-6,1.0641813787484725e-7
f,700,-5,7.720000000000004e-6,2.0013158588601148e-7,4.994999999999999e-6,1.5992758314624775e-7
f,700,-2.5,1.3749000000000012e-4,4.2407994466828944e-7,8.6274375e-5,3.3270550727335355e-7
f,700,-2,3.5216749999999986e-4,6.773898161692977e-7,2.2537065000000005e-4,5.37205236550583e-7
f,700,-1.5,8.359625000000002e-4,1.042508274544545e-6,5.448393499999998e-4,8.333831194929303e-7
f,700,-1,0.0016306109999999997,1.4541605137633537e-6,0.0010763799999999998,1.1709496250361082e-6
f,700,-0.5,0.0024528402500000003,1.7807216347206894e-6,0.0016309545000000002,1.4423917499889368e-6
f,700,0,0.002808620000000001,1.9115566780821938e-6,0.0018710295,1.5408811734296087e-6
f,750,-15,7.722000000000002e-7,1.2765161568534887e-8,5.072e-7,1.0182137477779408e-8
f,750,-12.5,1.27666662e-6,4.714135288587563e-8,8.433330700000001e-7,3.807685336557249e-8
f,750,-10,2.0916661849999994e-6,6.066421084653656e-8,1.4066671000000003e-6,4.916103605693952e-8
f,750,-7.5,3.849999999999999e-6,1.4229688664197819e-7,2.614999999999999e-6,1.1500329486366903e-7
f,750,-5,8.845000000000004e-6,2.136993351925784e-7,5.594999999999998e-6,1.6902910259626887e-7
f,750,-2.5,1.5699249999999996e-4,4.5250259695345957e-7,9.881562499999998e-5,3.5600555331793216e-7
f,750,-2,3.9838250000000014e-4,7.195761263377559e-7,2.553093499999998e-4,5.717283777748834e-7
f,750,-1.5,9.339025e-4,1.1020459408802381e-6,6.098162499999999e-4,8.826433481985067e-7
f,750,-1,0.0018040800000000004,1.527503719025672e-6,0.0011930703999999993,1.2328372028932275e-6
f,750,-0.5,0.0026990742499999995,1.8682973859083525e-6,0.0017980539999999997,1.513376258366747e-6
f,750,0,0.00308577675,2.003528710031389e-6,0.0020595352499999994,1.6220337624938718e-6
f,800,-15,8.447999999999999e-7,1.3344126516936208e-8,5.450000000000002e-7,1.0528670447896069e-8
f,800,-12.5,1.3499998900000002e-6,4.858945564885739e-8,8.866669399999998e-7,3.865884549184082e-8
f,800,-10,2.3333329099999995e-6,6.355254158002694e-8,1.5150001050000008e-6,5.068998747775098e-8
f,800,-7.5,4.229999999999999e-6,1.4798465240270696e-7,2.804999999999999e-6,1.196844430084796e-7
f,800,-5,9.885000000000008e-6,2.249966479544751e-7,6.349999999999997e-6,1.8014536752509066e-7
f,800,-2.5,1.7766125e-4,4.810007664173826e-7,1.1230625000000002e-4,3.8009368824835053e-7
f,800,-2,4.4518875000000005e-4,7.605849627602425e-7,2.8668125000000014e-4,6.06971579257294e-7
f,800,-1.5,0.0010342125000000002,1.1582514881275852e-6,6.770650000000001e-4,9.307164229789935e-7
f,800,-1,0.0019794697499999994,1.5996246490690047e-6,0.0013112737500000006,1.2947000865654897e-6
f,800,-0.5,0.002946028,1.9515503803117993e-6,0.0019662925000000003,1.5859386083995952e-6
f,800,0,0.003358884,2.08807051354312e-6,0.002246764749999999,1.6983102158779797e-6
